claim_id,vin,claim_date,vehicle_make,vehicle_model,model_year,mileage,application,geography,fault_code,noun_code,part_name,complaint,cause,correction,repair_cost_usd,technician_comment
C-1001,VIN-OUT-001,2026-01-08,Mitsubishi,Outlander,2021,31200,Retail SUV,Midwest USA,P0302,SPKPLG,Spark Plug,Engine misfire and poor acceleration,Cylinder 2 spark plug fouled,Replaced spark plugs and cleared fault code,1840,Cylinder 2 misfire found. Spark plug was carbon fouled and worn earlier than expected.
C-1002,VIN-OUT-002,2026-01-16,Mitsubishi,Outlander,2021,28650,Retail SUV,Northeast USA,P0302,SPKPLG,Spark Plug,Check engine light with rough idle,Plug fouling on cylinder 2,Replaced cylinder 2 plug and ignition coil inspection completed,1710,P0302 active. Plug fouled. Coil test passed. No injector fault observed.
C-1003,VIN-OUT-003,2026-01-21,Mitsubishi,Outlander,2021,33780,Retail SUV,South USA,P0302,SPKPLG,Spark Plug,Loss of power during acceleration,Premature spark plug wear,Spark plug set replaced,1925,Misfire cylinder 2. Spark plug electrode worn and dark deposits found.
C-1004,VIN-OUT-004,2026-02-05,Mitsubishi,Outlander,2021,29750,Fleet SUV,Midwest USA,P0302,SPKPLG,Spark Plug,Engine vibration at idle,Spark plug fouling,Replaced plug and cleaned throttle body,1665,Repeated rough idle. Cylinder 2 plug fouled. Similar previous cases observed.
C-1005,VIN-OUT-002,2026-03-11,Mitsubishi,Outlander,2021,34820,Retail SUV,Northeast USA,P0302,SPKPLG,Spark Plug,Repeat check engine light,Possible repeat ignition issue,Replaced spark plug set and performed fuel trim reset,2050,Repeat VIN. Plug deposits returned. Need engineering review for service interval gap.
C-1006,VIN-INT-101,2026-01-10,International,LT,2022,64200,General Freight Long Haul,Texas USA,P0401,EGRVLV,EGR Valve,Low power and emissions warning,Insufficient EGR flow,Replaced EGR valve and cleaned cooler,3120,P0401 present. EGR valve sticking due to soot buildup. Cooler restriction observed.
C-1007,VIN-INT-102,2026-02-14,International,LT,2022,59800,General Freight Long Haul,Illinois USA,P0401,EGRVLV,EGR Valve,Derate and poor acceleration,EGR valve stuck partially closed,Replaced EGR valve,2890,EGR actuator command not matching actual position. Soot buildup suspected.
C-1008,VIN-INT-103,2026-03-02,International,LT,2022,71150,General Freight Regional Haul,Ohio USA,P0401,EGRVLV,EGR Valve,Check engine light and derate,Restricted EGR flow,"EGR valve replaced, DPF regen completed",3350,High soot accumulation. Needs preventive cleaning interval validation.
C-1009,VIN-INT-201,2026-01-22,International,RH,2023,41700,Regional Haul Day Cab,California USA,P0299,TURBO,Turbocharger,Underboost and low engine power,VGT actuator slow response,Replaced actuator assembly,4250,P0299 underboost. VGT actuator response slow. Turbo wheel visually OK.
C-1010,VIN-INT-202,2026-02-19,International,RH,2023,45250,Regional Haul Day Cab,Arizona USA,P0299,TURBO,Turbocharger,Poor pull on grade,Boost pressure below threshold,Replaced turbo actuator and calibrated,3995,VGT position lag observed. Possible actuator calibration drift.
C-1011,VIN-INT-301,2026-03-17,International,CE School Bus,2024,18500,School Bus Stop-and-Go,New York USA,C0035,WHSNSR,Wheel Speed Sensor,ABS light on,Left front wheel speed sensor signal erratic,Replaced sensor and secured harness,760,Sensor wire chafing near bracket. ABS fault returned after wet driving.
C-1012,VIN-INT-302,2026-03-25,International,CE School Bus,2024,22300,School Bus Stop-and-Go,Pennsylvania USA,C0035,WHSNSR,Wheel Speed Sensor,Intermittent ABS warning,Harness routing issue,Replaced wheel speed sensor and rerouted harness,815,Chafed harness and moisture ingress near sensor connector.
C-1013,VIN-INT-401,2026-02-02,International,HV,2022,52200,Vocational Dump,Colorado USA,P20EE,DOSER,DEF Doser,SCR efficiency below threshold,DEF doser crystallization,Cleaned DEF doser and replaced nozzle,1460,DEF crystallization found. Doser spray pattern poor.
C-1014,VIN-INT-402,2026-03-07,International,HV,2022,48900,Vocational Dump,Utah USA,P20EE,DOSER,DEF Doser,Emissions fault and derate,Poor DEF atomization,Replaced DEF doser,1590,Doser blocked by crystal deposits. Short route duty cycle suspected.
C-1015,VIN-OUT-005,2026-04-05,Mitsubishi,Outlander,2022,55200,Retail SUV,Florida USA,P0420,CATCNV,Catalytic Converter,Catalyst efficiency below threshold,Catalyst degradation,Replaced catalytic converter,2380,Catalyst below efficiency. No misfire at time of repair.
